,Date,DateOrdinary,EdinetID,Term,Value,Context,Type,PeriodOrInstant,IsConsolidated,Src
278,2014-12-31,735598,E05625,comprehensiveincomeattributabletoownersoftheparent,1584000000,Prior1YearDuration,Duration,2014-01-01:2014-12-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S10077J7&amp;lgKbn=2&/E01EW/download?1463095258026
279,2015-12-31,735963,E05625,comprehensiveincomeattributabletoownersoftheparent,1811000000,CurrentYearDuration,Duration,2015-01-01:2015-12-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S10077J7&amp;lgKbn=2&/E01EW/download?1463095258026
280,2013-12-31,735233,E05625,netassets,619000000,Prior2YearInstant_CapitalStockMember,Instant,2013-12-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S10077J7&amp;lgKbn=2&/E01EW/download?1463095258026
281,2013-12-31,735233,E05625,netassets,785000000,Prior2YearInstant_CapitalSurplusMember,Instant,2013-12-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S10077J7&amp;lgKbn=2&/E01EW/download?1463095258026
282,2013-12-31,735233,E05625,netassets,2877000000,Prior2YearInstant_RetainedEarningsMember,Instant,2013-12-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S10077J7&amp;lgKbn=2&/E01EW/download?1463095258026
283,2013-12-31,735233,E05625,netassets,4241000000,Prior2YearInstant_ShareholdersEquityMember,Instant,2013-12-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S10077J7&amp;lgKbn=2&/E01EW/download?1463095258026
284,2013-12-31,735233,E05625,netassets,4241000000,Prior2YearInstant,Instant,2013-12-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S10077J7&amp;lgKbn=2&/E01EW/download?1463095258026
285,2014-12-31,735598,E05625,netincome,1584000000,Prior1YearDuration_RetainedEarningsMember,Duration,2014-01-01:2014-12-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S10077J7&amp;lgKbn=2&/E01EW/download?1463095258026
286,2014-12-31,735598,E05625,netincome,1584000000,Prior1YearDuration_ShareholdersEquityMember,Duration,2014-01-01:2014-12-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S10077J7&amp;lgKbn=2&/E01EW/download?1463095258026
287,2014-12-31,735598,E05625,netincome,1584000000,Prior1YearDuration,Duration,2014-01-01:2014-12-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S10077J7&amp;lgKbn=2&/E01EW/download?1463095258026
288,2014-12-31,735598,E05625,totalchangesofitemsduringtheperiod,1262000000,Prior1YearDuration_RetainedEarningsMember,Duration,2014-01-01:2014-12-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S10077J7&amp;lgKbn=2&/E01EW/download?1463095258026
289,2014-12-31,735598,E05625,totalchangesofitemsduringtheperiod,1262000000,Prior1YearDuration_ShareholdersEquityMember,Duration,2014-01-01:2014-12-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S10077J7&amp;lgKbn=2&/E01EW/download?1463095258026
290,2014-12-31,735598,E05625,totalchangesofitemsduringtheperiod,1262000000,Prior1YearDuration,Duration,2014-01-01:2014-12-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S10077J7&amp;lgKbn=2&/E01EW/download?1463095258026
291,2014-12-31,735598,E05625,netassets,619000000,Prior1YearInstant_CapitalStockMember,Instant,2014-12-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S10077J7&amp;lgKbn=2&/E01EW/download?1463095258026
292,2014-12-31,735598,E05625,netassets,785000000,Prior1YearInstant_CapitalSurplusMember,Instant,2014-12-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S10077J7&amp;lgKbn=2&/E01EW/download?1463095258026
