,EDINET Code,Submitter Name,IsRecorded_try0,IsRecorded_try1,IsRecorded_try2,IsRecorded_try3,IsRecorded_try4,IsRecorded
149,E00225,株式会社テクノ菱和,1,0,0,0,0,1
150,E00226,株式会社スルガコーポレーション,0,0,0,0,0,0
151,E00227,新日本空調株式会社,1,0,0,0,0,1
152,E00231,株式会社細田工務店,1,0,0,0,0,1
153,E00232,株式会社テノックス,1,0,0,0,0,1
154,E00233,大成温調株式会社,1,0,0,0,0,1
155,E00235,三井ホーム株式会社,1,0,0,0,0,1
156,E00238,株式会社　富士ピー・エス,1,0,0,0,0,1
157,E00239,株式会社大盛工業,1,0,0,0,0,1
158,E00240,株式会社土屋ホールディングス,1,0,0,0,0,1
159,E00242,田辺工業株式会社,1,0,0,0,0,1
160,E00246,暁飯島工業株式会社,1,0,0,0,0,1
161,E00248,サイタホールディングス株式会社,1,0,0,0,0,1
162,E00250,第一建設工業株式会社,1,0,0,0,0,1
163,E00251,株式会社　守谷商会,1,0,0,0,0,1
164,E00252,東邦電気工業株式会社,0,0,0,0,0,0
165,E00253,株式会社藤木工務店,0,0,0,0,0,0
166,E00254,株式会社マサル,1,0,0,0,0,1
167,E00255,株式会社大本組,1,0,0,0,0,1
168,E00258,山加電業株式会社,1,0,0,0,0,1
169,E00259,株式会社三東工業社,1,0,0,0,0,1
170,E00260,株式会社ナカボーテック,1,0,0,0,0,1
171,E00263,株式会社アジアゲートホ－ルディングス（旧会社名　株式会社Ａ．Ｃホールディングス）,1,0,0,0,0,1
172,E00264,大鉄工業株式会社,0,0,0,0,0,0
173,E00265,東光電気工事株式会社,0,0,0,0,0,0
174,E00267,常磐開発株式会社,1,0,0,0,0,1
175,E00268,株式会社　ヤマウラ,1,0,0,0,0,1
176,E00271,川崎設備工業株式会社,1,0,0,0,0,1
177,E00272,三井住建道路株式会社,1,0,0,0,0,1
178,E00273,富士古河Ｅ＆Ｃ株式会社,1,0,0,0,0,1
179,E00276,日本乾溜工業株式会社,1,0,0,0,0,1
180,E00277,藤田エンジニアリング株式会社,1,0,0,0,0,1
181,E00279,株式会社ソネック,1,0,0,0,0,1
182,E00281,東建コーポレーション株式会社,1,0,0,0,0,1
183,E00282,工藤建設株式会社,1,0,0,0,0,1
184,E00285,株式会社髙松コンストラクショングループ,1,0,0,0,0,1
185,E00287,太洋基礎工業株式会社,1,0,0,0,0,1
186,E00288,クレアホールディングス株式会社,1,0,0,0,0,1
187,E00299,コーアツ工業株式会社,1,0,0,0,0,1
188,E00302,シード平和株式会社,1,0,0,0,0,1
189,E00303,三井金属エンジニアリング株式会社,1,0,0,0,0,1
190,E00304,株式会社　オーテック,1,0,0,0,0,1
191,E00306,株式会社北弘電社,1,0,0,0,0,1
192,E00308,麻生フオームクリート株式会社,1,0,0,0,0,1
193,E00309,ミサワホーム中国株式会社,1,0,0,0,0,1
194,E00310,三光ソフランホールディングス株式会社,0,0,0,0,0,0
195,E00311,株式会社サンヨーハウジング名古屋,1,0,0,0,0,1
196,E00312,株式会社ビーアールホールディングス,1,0,0,0,0,1
197,E00313,日本電技株式会社,1,0,0,0,0,1
198,E00314,株式会社フジタ,0,0,0,0,0,0
199,E00315,美樹工業株式会社,1,0,0,0,0,1
200,E00316,東急建設株式会社,1,0,0,0,0,1
201,E00317,株式会社安藤・間,1,0,0,0,0,1
202,E00318,ミサワホーム株式会社,1,0,0,0,0,1
203,E00320,第一カッター興業株式会社,1,0,0,0,0,1
204,E00322,コムシスホールディングス株式会社,1,0,0,0,0,1
205,E00323,株式会社エムビーエス,1,0,0,0,0,1
206,E00325,株式会社桧家ホールディングス,1,0,0,0,0,1
207,E00327,株式会社ウエストホールディングス,1,0,0,0,0,1
208,E00328,東京鋪装工業株式会社,0,0,0,0,0,0
209,E00329,ショーボンドホールディングス株式会社,1,0,0,0,0,1
210,E00331,森永乳業株式会社,1,0,0,0,0,1
211,E00332,株式会社明治,0,0,0,0,0,0
212,E00334,日本ハム株式会社,1,0,0,0,0,1
213,E00335,プリマハム株式会社,1,0,0,0,0,1
214,E00336,伊藤ハム株式会社,1,0,0,0,0,1
215,E00337,六甲バター株式会社,1,0,0,0,0,1
216,E00339,相模ハム株式会社,0,0,0,0,0,0
217,E00340,米久株式会社,1,0,0,0,0,1
218,E00341,福留ハム株式会社,1,0,0,0,0,1
219,E00342,エスフーズ株式会社,1,0,0,0,0,1
220,E00343,滝沢ハム株式会社,1,0,0,0,0,1
221,E00344,株式会社秋川牧園,1,0,0,0,0,1
222,E00345,日本製粉株式会社,1,0,0,0,0,1
223,E00346,株式会社日清製粉グループ本社,1,0,0,0,0,1
224,E00347,日東富士製粉株式会社,1,0,0,0,0,1
225,E00348,昭和産業株式会社,1,0,0,0,0,1
226,E00350,東福製粉株式会社,1,0,0,0,0,1
227,E00351,鳥越製粉株式会社,1,0,0,0,0,1
228,E00352,株式会社増田製粉所,1,0,0,0,0,1
229,E00354,東洋精糖株式会社,1,0,0,0,0,1
230,E00355,日本甜菜製糖株式会社,1,0,0,0,0,1
231,E00356,三井製糖株式会社,1,0,0,0,0,1
232,E00357,新光製糖株式会社,0,0,0,0,0,0
233,E00358,日新製糖株式会社,0,0,0,0,0,0
234,E00360,フジ日本精糖株式会社,1,0,0,0,0,1
235,E00361,塩水港精糖株式会社,1,0,0,0,0,1
236,E00362,新中糖産業株式会社,0,0,0,0,0,0
237,E00365,北部製糖株式会社,0,0,0,0,0,0
238,E00366,株式会社　りゅうとう,0,0,0,0,0,0
239,E00367,久米島製糖株式会社,0,0,0,0,0,0
240,E00368,石垣島製糖株式会社,0,0,0,0,0,0
241,E00369,森永製菓株式会社,1,0,0,0,0,1
242,E00371,井村屋グループ株式会社,1,0,0,0,0,1
243,E00372,株式会社中村屋,1,0,0,0,0,1
244,E00373,江崎グリコ株式会社,1,0,0,0,0,1
245,E00374,株式会社不二家,1,0,0,0,0,1
246,E00375,山崎製パン株式会社,1,0,0,0,0,1
247,E00376,名糖産業株式会社,1,0,0,0,0,1
248,E00377,第一屋製パン株式会社,1,0,0,0,0,1
249,E00378,カンロ株式会社,1,0,0,0,0,1
250,E00379,株式会社駿河屋,0,0,0,0,0,0
251,E00380,株式会社ブルボン,1,0,0,0,0,1
252,E00381,モロゾフ株式会社,1,0,0,0,0,1
253,E00382,日糧製パン株式会社,1,0,0,0,0,1
254,E00384,フジパングループ本社株式会社,0,0,0,0,0,0
255,E00385,亀田製菓株式会社,1,0,0,0,0,1
256,E00386,岩塚製菓株式会社,1,0,0,0,0,1
257,E00387,寿スピリッツ株式会社,1,0,0,0,0,1
258,E00388,株式会社コモ,1,0,0,0,0,1
259,E00389,株式会社フレンテ,1,0,0,0,0,1
260,E00390,２１ＬＡＤＹ株式会社,1,0,0,0,0,1
261,E00392,株式会社シベール,1,0,0,0,0,1
262,E00393,サッポロホールディングス株式会社,1,0,0,0,0,1
263,E00394,アサヒグループホールディングス株式会社,1,0,0,0,0,1
264,E00395,キリンホールディングス株式会社,1,0,0,0,0,1
265,E00396,宝ホールディングス株式会社,1,0,0,0,0,1
266,E00397,オエノンホールディングス株式会社,1,0,0,0,0,1
267,E00399,ジャパン・フード＆リカー・アライアンス株式会社,1,0,0,0,0,1
268,E00400,養命酒製造株式会社,1,0,0,0,0,1
269,E00403,日本清酒株式会社,0,0,0,0,0,0
270,E00405,モンデ酒造株式会社,0,0,0,0,0,0
271,E00406,株式会社ヤクルト本社,1,0,0,0,0,1
272,E00408,北海道コカ・コーラボトリング株式会社,1,0,0,0,0,1
273,E00409,三国コカ・コーラボトリング株式会社,0,0,0,0,0,0
274,E00410,オリオンビール株式会社,0,0,0,0,0,0
275,E00414,株式会社伊藤園,1,0,0,0,0,1
276,E00417,コカ・コーラウエスト株式会社,1,0,0,0,0,1
277,E00421,ジャパンフーズ株式会社,1,0,0,0,0,1
278,E00422,マルサンアイ株式会社,1,0,0,0,0,1
279,E00423,コカ・コーライーストジャパン株式会社,1,0,0,0,0,1
280,E00424,ダイドードリンコ株式会社,1,0,0,0,0,1
281,E00425,南九州コカ・コーラボトリング株式会社,0,0,0,0,0,0
282,E00428,日清オイリオグループ株式会社,1,0,0,0,0,1
283,E00430,ボーソー油脂株式会社,1,0,0,0,0,1
284,E00431,不二製油グループ本社株式会社,1,0,0,0,0,1
285,E00432,攝津製油株式会社,1,0,0,0,0,1
286,E00433,かどや製油株式会社,1,0,0,0,0,1
287,E00434,株式会社Ｊ－オイルミルズ,1,0,0,0,0,1
288,E00435,キッコーマン株式会社,1,0,0,0,0,1
289,E00436,味の素株式会社,1,0,0,0,0,1
290,E00437,ヒゲタ醤油株式会社,0,0,0,0,0,0
291,E00438,協同飼料株式会社,1,0,0,0,0,1
