,0,1,2,3,4,5,6,7,8,9
39,2010-03-31,733862,E02271,otheria,27950000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
40,2010-03-31,733862,E02271,intangibleassets,42803000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
41,2010-03-31,733862,E02271,investmentsecurities,63150000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
42,2010-03-31,733862,E02271,deferredtaxassetsioa,18874000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
43,2010-03-31,733862,E02271,otherioa,6934000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
44,2010-03-31,733862,E02271,investmentsandotherassets,88159000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
45,2010-03-31,733862,E02271,noncurrentassets,256007000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
46,2010-03-31,733862,E02271,assets,740632000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
47,2010-03-31,733862,E02271,notesandaccountspayabletrade,125687000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
48,2010-03-31,733862,E02271,shorttermloanspayable,25441000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
49,2010-03-31,733862,E02271,currentportionofbonds,32900000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
50,2010-03-31,733862,E02271,leaseobligationscl,2939000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
51,2010-03-31,733862,E02271,accruedexpenses,42177000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
52,2010-03-31,733862,E02271,incometaxespayable,3503000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
53,2010-03-31,733862,E02271,advancesreceived,36411000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
54,2010-03-31,733862,E02271,provisionforproductwarranties,6448000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
55,2010-03-31,733862,E02271,othercl,24319000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
56,2010-03-31,733862,E02271,currentliabilities,299827000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
57,2010-03-31,733862,E02271,bondspayable,20000000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
58,2010-03-31,733862,E02271,longtermloanspayable,16460000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
59,2010-03-31,733862,E02271,leaseobligationsncl,4646000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
