,Date,DateOrdinary,EdinetID,Term,Value,Context,Type,PeriodOrInstant,IsConsolidated,Src
228,2014-12-31,735598,E02271,transactionswithothersegments,308000000,Prior1YTDDuration_jpcrp040300-q3r_E02271-000PrecisionMachineryReportableSegmentsMember,Duration,2014-04-01:2014-12-31,na,
229,2014-12-31,735598,E02271,transactionswithothersegments,317000000,Prior1YTDDuration_jpcrp040300-q3r_E02271-000ImageReportableSegmentsMember,Duration,2014-04-01:2014-12-31,na,
230,2014-12-31,735598,E02271,transactionswithothersegments,542000000,Prior1YTDDuration_jpcrp040300-q3r_E02271-000InstrumentsReportableSegmentsMember,Duration,2014-04-01:2014-12-31,na,
231,2014-12-31,735598,E02271,transactionswithothersegments,1167000000,Prior1YTDDuration_ReportableSegmentsMember,Duration,2014-04-01:2014-12-31,na,
232,2014-12-31,735598,E02271,transactionswithothersegments,15483000000,Prior1YTDDuration_OperatingSegmentsNotIncludedInReportableSegmentsAndOtherRevenueGeneratingBusinessActivitiesMember,Duration,2014-04-01:2014-12-31,na,
233,2014-12-31,735598,E02271,transactionswithothersegments,16651000000,Prior1YTDDuration_TotalOfReportableSegmentsAndOthersMember,Duration,2014-04-01:2014-12-31,na,
234,2014-12-31,735598,E02271,netsales,89580000000,Prior1YTDDuration_jpcrp040300-q3r_E02271-000PrecisionMachineryReportableSegmentsMember,Duration,2014-04-01:2014-12-31,na,
235,2014-12-31,735598,E02271,netsales,461339000000,Prior1YTDDuration_jpcrp040300-q3r_E02271-000ImageReportableSegmentsMember,Duration,2014-04-01:2014-12-31,na,
236,2014-12-31,735598,E02271,netsales,46449000000,Prior1YTDDuration_jpcrp040300-q3r_E02271-000InstrumentsReportableSegmentsMember,Duration,2014-04-01:2014-12-31,na,
237,2014-12-31,735598,E02271,netsales,597369000000,Prior1YTDDuration_ReportableSegmentsMember,Duration,2014-04-01:2014-12-31,na,
238,2014-12-31,735598,E02271,netsales,37101000000,Prior1YTDDuration_OperatingSegmentsNotIncludedInReportableSegmentsAndOtherRevenueGeneratingBusinessActivitiesMember,Duration,2014-04-01:2014-12-31,na,
239,2014-12-31,735598,E02271,netsales,634471000000,Prior1YTDDuration_TotalOfReportableSegmentsAndOthersMember,Duration,2014-04-01:2014-12-31,na,
240,2014-12-31,735598,E02271,netsales,617819000000,Prior1YTDDuration,Duration,2014-04-01:2014-12-31,na,
241,2014-12-31,735598,E02271,operatingincome,47566000000,Prior1YTDDuration_jpcrp040300-q3r_E02271-000ImageReportableSegmentsMember,Duration,2014-04-01:2014-12-31,na,
242,2014-12-31,735598,E02271,operatingincome,42098000000,Prior1YTDDuration_ReportableSegmentsMember,Duration,2014-04-01:2014-12-31,na,
243,2014-12-31,735598,E02271,operatingincome,4730000000,Prior1YTDDuration_OperatingSegmentsNotIncludedInReportableSegmentsAndOtherRevenueGeneratingBusinessActivitiesMember,Duration,2014-04-01:2014-12-31,na,
244,2014-12-31,735598,E02271,operatingincome,46828000000,Prior1YTDDuration_TotalOfReportableSegmentsAndOthersMember,Duration,2014-04-01:2014-12-31,na,
245,2014-12-31,735598,E02271,operatingincome,26727000000,Prior1YTDDuration,Duration,2014-04-01:2014-12-31,na,
246,2015-12-31,735963,E02271,revenuesfromexternalcustomers,114356000000,CurrentYTDDuration_jpcrp040300-q3r_E02271-000PrecisionMachineryReportableSegmentsMember,Duration,2015-04-01:2015-12-31,na,
247,2015-12-31,735963,E02271,revenuesfromexternalcustomers,423009000000,CurrentYTDDuration_jpcrp040300-q3r_E02271-000ImageReportableSegmentsMember,Duration,2015-04-01:2015-12-31,na,
248,2015-12-31,735963,E02271,revenuesfromexternalcustomers,52586000000,CurrentYTDDuration_jpcrp040300-q3r_E02271-000InstrumentsReportableSegmentsMember,Duration,2015-04-01:2015-12-31,na,
249,2015-12-31,735963,E02271,revenuesfromexternalcustomers,10409000000,CurrentYTDDuration_jpcrp040300-q3r_E02271-000MedicalReportableSegmentsMember,Duration,2015-04-01:2015-12-31,na,
250,2015-12-31,735963,E02271,revenuesfromexternalcustomers,600360000000,CurrentYTDDuration_ReportableSegmentsMember,Duration,2015-04-01:2015-12-31,na,
251,2015-12-31,735963,E02271,revenuesfromexternalcustomers,17030000000,CurrentYTDDuration_OperatingSegmentsNotIncludedInReportableSegmentsAndOtherRevenueGeneratingBusinessActivitiesMember,Duration,2015-04-01:2015-12-31,na,
252,2015-12-31,735963,E02271,revenuesfromexternalcustomers,617390000000,CurrentYTDDuration_TotalOfReportableSegmentsAndOthersMember,Duration,2015-04-01:2015-12-31,na,
253,2015-12-31,735963,E02271,revenuesfromexternalcustomers,617390000000,CurrentYTDDuration,Duration,2015-04-01:2015-12-31,na,
254,2015-12-31,735963,E02271,transactionswithothersegments,235000000,CurrentYTDDuration_jpcrp040300-q3r_E02271-000PrecisionMachineryReportableSegmentsMember,Duration,2015-04-01:2015-12-31,na,
255,2015-12-31,735963,E02271,transactionswithothersegments,336000000,CurrentYTDDuration_jpcrp040300-q3r_E02271-000ImageReportableSegmentsMember,Duration,2015-04-01:2015-12-31,na,
256,2015-12-31,735963,E02271,transactionswithothersegments,781000000,CurrentYTDDuration_jpcrp040300-q3r_E02271-000InstrumentsReportableSegmentsMember,Duration,2015-04-01:2015-12-31,na,
257,2015-12-31,735963,E02271,transactionswithothersegments,1352000000,CurrentYTDDuration_ReportableSegmentsMember,Duration,2015-04-01:2015-12-31,na,
258,2015-12-31,735963,E02271,transactionswithothersegments,15474000000,CurrentYTDDuration_OperatingSegmentsNotIncludedInReportableSegmentsAndOtherRevenueGeneratingBusinessActivitiesMember,Duration,2015-04-01:2015-12-31,na,
259,2015-12-31,735963,E02271,transactionswithothersegments,16827000000,CurrentYTDDuration_TotalOfReportableSegmentsAndOthersMember,Duration,2015-04-01:2015-12-31,na,
260,2015-12-31,735963,E02271,netsales,114591000000,CurrentYTDDuration_jpcrp040300-q3r_E02271-000PrecisionMachineryReportableSegmentsMember,Duration,2015-04-01:2015-12-31,na,
261,2015-12-31,735963,E02271,netsales,423345000000,CurrentYTDDuration_jpcrp040300-q3r_E02271-000ImageReportableSegmentsMember,Duration,2015-04-01:2015-12-31,na,
262,2015-12-31,735963,E02271,netsales,53367000000,CurrentYTDDuration_jpcrp040300-q3r_E02271-000InstrumentsReportableSegmentsMember,Duration,2015-04-01:2015-12-31,na,
263,2015-12-31,735963,E02271,netsales,10409000000,CurrentYTDDuration_jpcrp040300-q3r_E02271-000MedicalReportableSegmentsMember,Duration,2015-04-01:2015-12-31,na,
264,2015-12-31,735963,E02271,netsales,601713000000,CurrentYTDDuration_ReportableSegmentsMember,Duration,2015-04-01:2015-12-31,na,
